,city,city_seo_name,citypart,citypart_seo_name,country,country_id,country_seo_name,district,district_id,district_seo_name,entity_type,geohash,gps_lat,gps_lon,housenumber,inaccuracy_type,municipality,municipality_id,municipality_seo_name,quarter,quarter_id,quarter_seo_name,region,region_id,region_seo_name,street,street_id,street_seo_name,streetnumber,ward,ward_id,ward_seo_name
393,Praha,praha,Smíchov,smichov,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhzg0jbr,50.0712168136888,14.4030884969025,2324,address,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Stroupežnického,121960,stroupeznickeho,26,,13687,
394,Praha,praha,Libeň,liben,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,street,u2fm12vnhp,50.102847,14.4760357,,gps,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Heydukova,119704,heydukova,,,14955,
395,Praha,praha,Malešice,malesice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,street,u2fkcv4wun,50.082368610183906,14.494579841524452,,street,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Chotutická,119835,chotuticka,,,14956,
396,Praha,praha,Krč,krc,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fk8sbpu9,50.0371989999184,14.4362365697765,,street,,3468,,Praha 4,90,praha-4,Hlavní město Praha,10,hlavni-mesto-praha,Nad obcí I,121034,nad-obci-i,,,13676,
397,Praha,praha,Staré Město,stare-mesto,Česká republika,112,ceska-republika,Praha 1,5001,praha-1,address,u2fkbnu9d6,50.0910584625251,14.4203396194445,,street,,3468,,Praha 1,87,praha-1,Hlavní město Praha,10,hlavni-mesto-praha,Bílkova,119295,bilkova,,,13674,
398,Praha,praha,Dolní Chabry,dolni-chabry,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm0z950t,50.139399,14.448418,1181,gps,,3468,,Praha-Dolní Chabry,118,praha-dolni-chabry,Hlavní město Praha,10,hlavni-mesto-praha,K Beranovu,5193851,k-beranovu,9,,13708,
399,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkchqn90,50.0781738,14.4662968,1888,gps,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Vinohradská,122692,vinohradska,139,,14971,
400,Praha,praha,Nusle,nusle,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,street,u2fk8xbfzw,50.052844,14.4373886,,gps,,3468,,Praha 4,90,praha-4,Hlavní město Praha,10,hlavni-mesto-praha,Kotorská,120224,kotorska,,,14960,
401,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,street,u2fkcmbhps,50.086009,14.469324,,street,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Ke Kapslovně,152689,ke-kapslovne,,,14971,
402,Praha,praha,Libeň,liben,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm1tdu1t,50.12858578777123,14.483824233475225,2466,address,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Březenská,5194134,brezenska,4,,14955,
403,Praha,praha,Vinohrady,vinohrady,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbkjqpv,50.0767441284,14.4325945689,334,gps,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Londýnská,120409,londynska,83,,14967,
404,Praha,praha,Suchdol,suchdol,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fjpn76jh,50.132358,14.374803,558,gps,,3468,,Praha-Suchdol,112,praha-suchdol,Hlavní město Praha,10,hlavni-mesto-praha,Olšová,119661,olsova,5,,13700,
405,Praha,praha,Řepy,repy,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fhv6k7b2,50.066716,14.299066,1237,gps,,3468,,Praha 17,111,praha-17,Hlavní město Praha,10,hlavni-mesto-praha,Galandova,125367,galandova,11,,13699,
406,Praha,praha,Strašnice,strasnice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcsxyvu,50.079614,14.49088,1077,gps,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Révová,121678,revova,18,,14963,
407,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkcyfypc,50.0918302536,14.4950805333,2616,gps,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Hartigova,120189,hartigova,240,,14971,
408,Praha,praha,Braník,branik,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fhxvhsp8,50.0379216126762,14.4095837582978,,street,,3468,,Praha 4,90,praha-4,Hlavní město Praha,10,hlavni-mesto-praha,Na Mlejnku,120760,na-mlejnku,,,13678,
409,Praha,praha,Prosek,prosek,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm1uy2ev,50.1238657499623,14.499713068204,,street,,3468,,Praha 9,119,praha-9,Hlavní město Praha,10,hlavni-mesto-praha,Mimoňská,123134,mimonska,,,13710,
410,Praha,praha,Motol,motol,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhy7ht6c,50.0711007080648,14.3434608809241,,street,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Podhorská,121506,podhorska,,,13689,
411,Praha,praha,Chodov,chodov,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fkdk5ndj,50.032884792669,14.517145286026,,street,,3468,,Praha 11,91,praha-11,Hlavní město Praha,10,hlavni-mesto-praha,Brandlova,124839,brandlova,,,13679,
412,Praha,praha,Košíře,kosire,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhz7mbgh,50.071718,14.389139,198,gps,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Plzeňská,121344,plzenska,49,,13688,
